====================================================================================================
MONITEUR RADIO — 2026-07-23 (synthèse des 3 rapports + plan, heures UTC)
====================================================================================================
État : ❌ incident(s) détecté(s)  ·  diffusion : 2 coupure(s)/trou(s), 0 double(s) message  ·  serveur : 295 incident(s)
SERVEUR (liquidsoap_events) :
   00:01:20  🌐 échec réseau AzuraCast/Liquidsoap  (×2)
   00:01:20  💥 crash Liquidsoap (redémarrage automatique)  (×2)
   00:01:26  🔇 bascule sur jingle d'erreur (silence potentiel)  (×3)
   23:31:54  🌐 échec réseau AzuraCast/Liquidsoap  (×288)
RESET MINUIT : restart confirmé vers 00:02:02 · 3 contrôle(s) · ⚠️ doublon vu dans la file
INCIDENTS CORRÉLÉS (anomalie de diffusion ↔ cause serveur probable) :
   00:01:32  TROU 106s « jingle avant message 01 voici le message du jour »
          ↳ cause probable 00:01:26 : 🔇 bascule sur jingle d'erreur (silence potentiel)
   23:55:11  COUPÉ 192s « 15 at 01.33.50 (1)(1) »
          ↳ aucune cause serveur à proximité (voir CONTRÔLES APPROFONDIS et RÉEL vs PRÉVU ci-dessous)
(Détail titre par titre, contrôles approfondis et RÉEL vs PRÉVU ci-dessous.)
Rapport de diffusion — 2026-07-23 (heures UTC)
310 titres joués | tolérance ±10s
====================================================================================================
HEURE    PLAYLIST                     FICHIER          RÉEL    ÉCART  STATUT  TITRE
----------------------------------------------------------------------------------------------------
11:44:46 BLOC_B_SERIE_DU_JOUR              0m09s      0m10s      +1s  ✅  JINGLE
11:44:56 BLOC_B_SERIE_DU_JOUR              4m18s      4m16s      -2s  ✅  You Are Worthy - Ketu HF
11:49:12 BLOC_B_SERIE_DU_JOUR              4m11s      4m08s      -3s  ✅  Cantique   Oh Éternel Dieu, Tu es le Dieu Incomparable
11:53:20 BLOC_B_SERIE_DU_JOUR              9m43s      9m48s      +5s  ✅  Thy Throne Oh Lord - Ketu HF
12:03:08 BLOC_C_SERIE_DU_JOUR             13m15s     13m12s      -3s  ✅  wa0002 2
12:16:20 BLOC_C_SERIE_DU_JOUR              0m09s      0m06s      -3s  ✅  jingle avant bible 08 prenons un moment pour ecouter la parole
12:16:26 BLOC_C_SERIE_DU_JOUR              3m54s      3m52s      -2s  ✅  Jérémie 18
12:20:18 BLOC_C_SERIE_DU_JOUR              3m01s      2m58s      -3s  ✅  Jérémie 19
12:23:16 BLOC_C_SERIE_DU_JOUR              3m26s      3m24s      -2s  ✅  Jérémie 20
12:26:40 BLOC_C_SERIE_DU_JOUR              2m54s      2m51s      -3s  ✅  Jérémie 21
12:29:31 BLOC_C_SERIE_DU_JOUR              5m04s      5m01s      -3s  ✅  Jérémie 22
12:34:32 BLOC_C_SERIE_DU_JOUR              6m49s      6m47s      -2s  ✅  Jérémie 23
12:41:19 BLOC_C_SERIE_DU_JOUR              1m56s      1m54s      -2s  ✅  Jérémie 24
12:43:13 BLOC_C_SERIE_DU_JOUR              5m57s      5m55s      -2s  ✅  Jérémie 25
12:49:08 BLOC_C_SERIE_DU_JOUR              4m07s      4m04s      -3s  ✅  Jérémie 26
12:53:12 BLOC_C_SERIE_DU_JOUR              3m55s      3m53s      -2s  ✅  Jérémie 27
12:57:05 BLOC_C_SERIE_DU_JOUR              3m03s      3m00s      -3s  ✅  Jérémie 28
13:00:05 BLOC_C_SERIE_DU_JOUR              5m38s      5m36s      -2s  ✅  Jérémie 29
13:05:41 BLOC_C_SERIE_DU_JOUR              4m01s      3m58s      -3s  ✅  Jérémie 30
