Rapport de diffusion — 2026-06-28 (heures UTC)
268 titres joués | tolérance ±10s
====================================================================================================
HEURE    PLAYLIST                     FICHIER          RÉEL    ÉCART  STATUT  TITRE
----------------------------------------------------------------------------------------------------
00:01:29 BLOC_A_SERIE_DU_JOUR              0m10s      1m49s     +99s  ⚠️ TROU APRÈS  jingle avant message 01 voici le message du jour
15:49:16 BLOC_C_SERIE_DU_JOUR              7m21s      7m19s      -2s  ✅  For By My God - Toronto & Winnipeg HF
15:56:35 BLOC_C_SERIE_DU_JOUR              4m52s      4m50s      -2s  ✅  God is Moving Us On - Ketu HF
16:01:25 BLOC_C_SERIE_DU_JOUR             10m13s     10m10s      -3s  ✅  As We Worship - Toronto & Winnipeg HF
16:11:35 BLOC_C_SERIE_DU_JOUR              3m18s      3m16s      -2s  ✅  Proverbes 16
16:14:51 BLOC_C_SERIE_DU_JOUR              2m57s      2m54s      -3s  ✅  Proverbes 17
16:17:45 BLOC_C_SERIE_DU_JOUR              2m16s      2m14s      -2s  ✅  Proverbes 18
16:19:59 BLOC_C_SERIE_DU_JOUR              3m01s      2m58s      -3s  ✅  Proverbes 19
16:22:57 BLOC_C_SERIE_DU_JOUR              2m55s      2m53s      -2s  ✅  Proverbes 20
16:25:50 BLOC_C_SERIE_DU_JOUR              3m08s      3m06s      -2s  ✅  Proverbes 21
16:28:56 BLOC_C_SERIE_DU_JOUR              2m52s      2m49s      -3s  ✅  Proverbes 22
16:31:45 BLOC_C_SERIE_DU_JOUR              3m16s      3m13s      -3s  ✅  Proverbes 23
16:34:58 BLOC_C_SERIE_DU_JOUR              3m13s      3m11s      -2s  ✅  Proverbes 24
16:38:09 BLOC_C_SERIE_DU_JOUR              2m58s      2m55s      -3s  ✅  Proverbes 25
16:41:04 BLOC_C_SERIE_DU_JOUR              2m45s      2m42s      -3s  ✅  Proverbes 26
16:43:46 BLOC_C_SERIE_DU_JOUR              2m40s      2m37s      -3s  ✅  Proverbes 27
16:46:23 BLOC_C_SERIE_DU_JOUR              3m06s      3m04s      -2s  ✅  Proverbes 28
16:49:27 BLOC_C_SERIE_DU_JOUR              2m39s      2m36s      -3s  ✅  Proverbes 29
16:52:03 BLOC_C_SERIE_DU_JOUR              7m29s      7m27s      -2s  ✅  Hallelujah - PHF
16:59:30 BLOC_C_SERIE_DU_JOUR              7m04s      7m01s      -3s  ✅  We Bless You Wonderful God  - Winnipeg Fellowship
17:06:31 BLOC_C_SERIE_DU_JOUR              9m31s      9m28s      -3s  ✅  15 at 01.33.50 (1)(1)
17:15:59 BLOC_C_SERIE_DU_JOUR              8m18s      8m15s      -3s  ✅  Yahweh Is Mighty - SWBN TV
17:24:14 BLOC_C_SERIE_DU_JOUR              9m23s      9m21s      -2s  ✅  10 minutes
17:33:35 BLOC_C_SERIE_DU_JOUR              5m45s      5m43s      -2s  ✅  Ella Samuels - Oh Lord Our Maker
17:39:18 BLOC_C_SERIE_DU_JOUR              7m17s      7m15s      -2s  ✅  cantique  tes promesses  pub direct dec 2021 import (2)
17:46:33 BLOC_C_SERIE_DU_JOUR              6m21s      6m18s      -3s  ✅  Esdras 10
17:52:51 BLOC_C_SERIE_DU_JOUR              9m17s      9m14s      -3s  ✅  Luc 1
18:02:05 BLOC_D_SERIE_DU_JOUR              0m08s      0m09s      +1s  ✅  jingle avant message 02 enseignement parole de dieu
18:02:14 BLOC_D_SERIE_DU_JOUR             37m39s     37m43s      +4s  ✅  aps la moisson 20220219 5
18:39:57 BLOC_D_SERIE_DU_JOUR              8m34s      8m32s      -2s  ✅  1 Corinthiens 15
18:48:29 BLOC_D_SERIE_DU_JOUR              3m07s      3m04s      -3s  ✅  1 Corinthiens 16
18:51:33 BLOC_D_SERIE_DU_JOUR              2m54s      2m51s      -3s  ✅  Malachie 1
18:54:24 BLOC_D_SERIE_DU_JOUR              3m17s      3m14s      -3s  ✅  Malachie 2
18:57:38 BLOC_D_SERIE_DU_JOUR              3m22s      3m20s      -2s  ✅  Malachie 3
19:00:58 BLOC_D_SERIE_DU_JOUR              1m05s      1m02s      -3s  ✅  Malachie 4
19:02:00 BLOC_D_SERIE_DU_JOUR              3m39s      3m36s      -3s  ✅  Ruth 1
19:05:36 BLOC_D_SERIE_DU_JOUR              4m14s      4m11s      -3s  ✅  Ruth 2
19:09:47 BLOC_D_SERIE_DU_JOUR              3m00s      2m58s      -2s  ✅  Ruth 3
19:12:45 BLOC_D_SERIE_DU_JOUR              3m43s      3m41s      -2s  ✅  Ruth 4
19:16:26 BLOC_D_SERIE_DU_JOUR              3m07s      3m05s      -2s  ✅  Joël 1
