====================================================================================================
MONITEUR RADIO — 2026-09-01 (synthèse des 3 rapports + plan, heures UTC)
====================================================================================================
État : ❌ incident(s) détecté(s)  ·  diffusion : 2 coupure(s)/trou(s), 0 double(s) message  ·  serveur : 9 incident(s)
SERVEUR (liquidsoap_events) :
   00:01:30  🌐 échec réseau AzuraCast/Liquidsoap  (×2)
   00:01:30  💥 crash Liquidsoap (redémarrage automatique)  (×2)
   00:01:34  🔇 bascule sur jingle d'erreur (silence potentiel)  (×3)
   11:59:23  🔇 bascule sur jingle d'erreur (silence potentiel)  (×2)
RESET MINUIT : restart confirmé vers 00:02:12 · 3 contrôle(s) · ⚠️ doublon vu dans la file
INCIDENTS CORRÉLÉS (anomalie de diffusion ↔ cause serveur probable) :
   00:01:40  TROU 99s « jingle avant message 03 vous ecoutez parole prophetique fm »
          ↳ cause probable 00:01:34 : 🔇 bascule sur jingle d'erreur (silence potentiel)
   23:59:44  COUPÉ 1096s « pqe j6 »
          ↳ aucune cause serveur à proximité (voir CONTRÔLES APPROFONDIS et RÉEL vs PRÉVU ci-dessous)
(Détail titre par titre, contrôles approfondis et RÉEL vs PRÉVU ci-dessous.)
Rapport de diffusion — 2026-09-01 (heures UTC)
307 titres joués | tolérance ±10s
====================================================================================================
HEURE    PLAYLIST                     FICHIER          RÉEL    ÉCART  STATUT  TITRE
----------------------------------------------------------------------------------------------------
07:43:26 BLOC_B_SERIE_DU_JOUR              7m57s      7m55s      -2s  ✅  Yahweh is Mighty (Imah Adegoke)
07:51:21 BLOC_B_SERIE_DU_JOUR              7m25s      7m22s      -3s  ✅  Victorious Is the Lamb - Winnipeg Fellowship
07:58:43 BLOC_B_SERIE_DU_JOUR              9m43s      9m40s      -3s  ✅  Thy Throne Oh Lord - Ketu HF
08:08:23 BLOC_B_SERIE_DU_JOUR              7m09s      7m07s      -2s  ✅  You're the Lamb (Abasiama Timothy)
08:15:30 BLOC_B_SERIE_DU_JOUR              0m09s      0m07s      -2s  ✅  jingle avant bible 08 prenons un moment pour ecouter la parole
08:15:37 BLOC_B_SERIE_DU_JOUR              4m33s      4m31s      -2s  ✅  1 Pierre 1
08:20:08 BLOC_B_SERIE_DU_JOUR              4m17s      4m13s      -4s  ✅  1 Pierre 2
08:24:21 BLOC_B_SERIE_DU_JOUR              3m50s      3m47s      -3s  ✅  1 Pierre 3
08:28:08 BLOC_B_SERIE_DU_JOUR              3m13s      3m11s      -2s  ✅  1 Pierre 4
08:31:19 BLOC_B_SERIE_DU_JOUR              2m15s      2m12s      -3s  ✅  1 Pierre 5
08:33:31 BLOC_B_SERIE_DU_JOUR              3m17s      3m15s      -2s  ✅  Galates 1
08:36:46 BLOC_B_SERIE_DU_JOUR              4m08s      4m06s      -2s  ✅  Galates 2
08:40:52 BLOC_B_SERIE_DU_JOUR              4m50s      4m48s      -2s  ✅  Galates 3
08:45:40 BLOC_B_SERIE_DU_JOUR              0m11s      0m08s      -3s  ✅  jingle avant louange 05 elevons nos coeurs vers dieu
08:45:48 BLOC_B_SERIE_DU_JOUR              5m04s      5m02s      -2s  ✅  I Enter The Holy of Holies - Port Harcourt HF
08:50:50 BLOC_B_SERIE_DU_JOUR              9m24s      9m22s      -2s  ✅  I See Your Face - Toronto HF
09:00:12 BLOC_B_SERIE_DU_JOUR              5m10s      5m07s      -3s  ✅  Igwe
09:05:19 BLOC_B_SERIE_DU_JOUR              9m39s      9m36s      -3s  ✅  Psalm 93 - Port Harcourt HF
09:14:55 BLOC_B_SERIE_DU_JOUR              6m41s      6m38s      -3s  ✅  6 minutes
09:21:33 BLOC_B_SERIE_DU_JOUR              6m04s      6m02s      -2s  ✅  Sing Unto the Lord a new Song  - Winnipeg Fellowship
09:27:35 BLOC_B_SERIE_DU_JOUR              5m48s      5m46s      -2s  ✅  Forever You Reign - Abuja HF
09:33:21 BLOC_B_SERIE_DU_JOUR              6m12s      6m09s      -3s  ✅  Praise the Lord All Ye Nations - Toronto HF
09:39:30 BLOC_B_SERIE_DU_JOUR              6m28s      6m25s      -3s  ✅  Le Bien-Etre Universel
09:45:55 BLOC_B_SERIE_DU_JOUR              0m10s      0m08s      -2s  ✅  jingle avant bible 06 ouvrons les saintes ecritures
09:46:03 BLOC_B_SERIE_DU_JOUR              2m40s      2m38s      -2s  ✅  Amos 1
09:48:41 BLOC_B_SERIE_DU_JOUR              2m30s      2m28s      -2s  ✅  Amos 2
09:51:09 BLOC_B_SERIE_DU_JOUR              2m19s      2m16s      -3s  ✅  Amos 3
09:53:25 BLOC_B_SERIE_DU_JOUR              2m44s      2m42s      -2s  ✅  Amos 4
09:56:07 BLOC_B_SERIE_DU_JOUR              4m01s      3m58s      -3s  ✅  Amos 5
10:00:05 BLOC_B_SERIE_DU_JOUR              2m22s      2m19s      -3s  ✅  Amos 6
10:02:24 BLOC_B_SERIE_DU_JOUR              3m05s      3m03s      -2s  ✅  Amos 7
10:05:27 BLOC_B_SERIE_DU_JOUR              2m30s      2m27s      -3s  ✅  Amos 8
10:07:54 BLOC_B_SERIE_DU_JOUR              2m56s      2m54s      -2s  ✅  Amos 9
10:10:48 BLOC_B_SERIE_DU_JOUR              4m56s      4m53s      -3s  ✅  Marc 7
10:15:41 BLOC_B_SERIE_DU_JOUR              5m26s      5m24s      -2s  ✅  Marc 8
10:21:05 BLOC_B_SERIE_DU_JOUR              6m45s      6m43s      -2s  ✅  Marc 9
10:27:48 BLOC_B_SERIE_DU_JOUR              7m16s      7m13s      -3s  ✅  Marc 10
10:35:01 BLOC_B_SERIE_DU_JOUR              0m13s      0m11s      -2s  ✅  jingle avant louange 07 voici un temps de louange
10:35:12 BLOC_B_SERIE_DU_JOUR              5m07s      5m05s      -2s  ✅  We Shall Come - Asaba Fellowship
10:40:17 BLOC_B_SERIE_DU_JOUR              9m04s      9m00s      -4s  ✅  You're the Lamb - Calabar HF
10:49:17 BLOC_B_SERIE_DU_JOUR              8m22s      8m19s      -3s  ✅  Yeshua Hamashiach - Calabar HF
10:57:36 BLOC_B_SERIE_DU_JOUR             10m35s     10m33s      -2s  ✅  Baruch Ha'ba B'Shem Adonai/Blessed Is He Who Comes in the Name of the Lord - Port Harcourt HF
11:08:09 BLOC_B_SERIE_DU_JOUR              7m09s      7m07s      -2s  ✅  My God Is Good - Winnipeg Fellowship
11:15:16 BLOC_B_SERIE_DU_JOUR              6m54s      6m52s      -2s  ✅  There is no Lie (Imah Adegoke & Mary Umoh)
11:22:08 BLOC_B_SERIE_DU_JOUR              5m45s      5m41s      -4s  ✅  How Precious Oh Lord
11:27:49 BLOC_B_SERIE_DU_JOUR              7m46s      7m44s      -2s  ✅  Arise Out of Zion  - Winnipeg Fellowship
11:35:33 BLOC_B_SERIE_DU_JOUR              0m09s      0m09s      +0s  ✅  jingle id station 01 la bonne nouvelle partout
11:35:42 BLOC_B_SERIE_DU_JOUR              2m04s      2m02s      -2s  ✅  1 Corinthiens 8
11:37:44 BLOC_B_SERIE_DU_JOUR              4m09s      4m06s      -3s  ✅  1 Corinthiens 9
11:41:50 BLOC_B_SERIE_DU_JOUR              4m48s      4m46s      -2s  ✅  1 Corinthiens 10
11:46:36 BLOC_B_SERIE_DU_JOUR              5m08s      5m06s      -2s  ✅  1 Corinthiens 11
11:51:42 BLOC_B_SERIE_DU_JOUR              4m41s      4m39s      -2s  ✅  1 Corinthiens 12
11:56:21 BLOC_B_SERIE_DU_JOUR              0m09s      0m10s      +1s  ✅  jingle id station 02 radio evangile du royaume
11:56:31 BLOC_B_SERIE_DU_JOUR              2m57s      2m57s      +0s  ✅  You Are the Captain of the Host - Toronto HF
11:59:28 ?                                 0m37s      0m37s      +0s  ✅  AzuraCast is Live!
12:00:05 BLOC_C_SERIE_DU_JOUR              0m10s      0m15s      +5s  ✅  jingle avant message 04 bienvenue sur parole prophetique fm
12:00:20 BLOC_C_SERIE_DU_JOUR             20m13s     20m10s      -3s  ✅  pqe j6
12:20:30 BLOC_C_SERIE_DU_JOUR              0m09s      0m06s      -3s  ✅  jingle avant bible 08 prenons un moment pour ecouter la parole
12:20:36 BLOC_C_SERIE_DU_JOUR              3m16s      3m14s      -2s  ✅  1 Timothée 1
12:23:50 BLOC_C_SERIE_DU_JOUR              2m10s      2m07s      -3s  ✅  1 Timothée 2
12:25:57 BLOC_C_SERIE_DU_JOUR              2m24s      2m21s      -3s  ✅  1 Timothée 3
12:28:18 BLOC_C_SERIE_DU_JOUR              2m29s      2m27s      -2s  ✅  1 Timothée 4
12:30:45 BLOC_C_SERIE_DU_JOUR              3m45s      3m43s      -2s  ✅  1 Timothée 5
12:34:28 BLOC_C_SERIE_DU_JOUR              3m53s      3m50s      -3s  ✅  1 Timothée 6
12:38:18 BLOC_C_SERIE_DU_JOUR              4m07s      4m04s      -3s  ✅  Ésaïe 36
12:42:22 BLOC_C_SERIE_DU_JOUR              7m01s      6m59s      -2s  ✅  Ésaïe 37
12:49:21 BLOC_C_SERIE_DU_JOUR              3m53s      3m50s      -3s  ✅  Ésaïe 38
12:53:11 BLOC_C_SERIE_DU_JOUR              1m42s      1m40s      -2s  ✅  Ésaïe 39
12:54:51 BLOC_C_SERIE_DU_JOUR              5m12s      5m10s      -2s  ✅  Ésaïe 40
13:00:01 BLOC_C_SERIE_DU_JOUR              5m25s      5m22s      -3s  ✅  Ésaïe 41
13:05:23 BLOC_C_SERIE_DU_JOUR              4m30s      4m28s      -2s  ✅  Ésaïe 42
13:09:51 BLOC_C_SERIE_DU_JOUR              4m33s      4m30s      -3s  ✅  Ésaïe 43
13:14:21 BLOC_C_SERIE_DU_JOUR              5m55s      6m01s      +6s  ✅  Ésaïe 44
13:20:22 BLOC_C_SERIE_DU_JOUR              5m19s      5m16s      -3s  ✅  Gabrielle LIDJI - Mélodie Céleste  by LFXA(Light FX Animation)_2
13:25:38 BLOC_C_SERIE_DU_JOUR              5m08s      5m06s      -2s  ✅  He Has Given Me - PHF
13:30:44 BLOC_C_SERIE_DU_JOUR              3m24s      3m21s      -3s  ✅  Cantique sa miséricorde
