====================================================================================================
MONITEUR RADIO — 2026-08-23 (synthèse des 3 rapports + plan, heures UTC)
====================================================================================================
État : ❌ incident(s) détecté(s)  ·  diffusion : 1 coupure(s)/trou(s), 0 double(s) message  ·  serveur : 21 incident(s)
SERVEUR (liquidsoap_events) :
   00:01:28  🔇 bascule sur jingle d'erreur (silence potentiel)  (×3)
   23:32:26  🌐 échec réseau AzuraCast/Liquidsoap  (×17)
   23:59:57  🔇 bascule sur jingle d'erreur (silence potentiel)
RESET MINUIT : restart confirmé vers 00:02:05 · 3 contrôle(s) · file saine ✅
INCIDENTS CORRÉLÉS (anomalie de diffusion ↔ cause serveur probable) :
   00:01:34  TROU 130s « jingle avant message 05 vous etes a lecoute de levangile du royaume »
          ↳ cause probable 00:01:28 : 🔇 bascule sur jingle d'erreur (silence potentiel)
(Détail titre par titre, contrôles approfondis et RÉEL vs PRÉVU ci-dessous.)
Rapport de diffusion — 2026-08-23 (heures UTC)
258 titres joués | tolérance ±10s
====================================================================================================
HEURE    PLAYLIST                     FICHIER          RÉEL    ÉCART  STATUT  TITRE
----------------------------------------------------------------------------------------------------
00:01:34 BLOC_A_SERIE_DU_JOUR              0m11s      2m21s    +130s  ⚠️ TROU APRÈS  jingle avant message 05 vous etes a lecoute de levangile du royaume
15:36:03 BLOC_C_SERIE_DU_JOUR              8m12s      8m10s      -2s  ✅  Jesus is Alpha - PHF
15:44:13 BLOC_C_SERIE_DU_JOUR              5m33s      5m30s      -3s  ✅  He Shall Feed His Flock - I Want to walk  - Ketu HF
15:49:43 BLOC_C_SERIE_DU_JOUR              7m19s      7m16s      -3s  ✅  You Have sworn By Your Holiness - Chidera Bisong
15:56:59 BLOC_C_SERIE_DU_JOUR              6m54s      6m51s      -3s  ✅  There is no Lie (Imah Adegoke & Mary Umoh)
16:03:50 BLOC_C_SERIE_DU_JOUR              4m18s      4m16s      -2s  ✅  You Are Worthy - Ketu HF
16:08:06 BLOC_C_SERIE_DU_JOUR              6m12s      6m10s      -2s  ✅  The King is Here (Abasiama Timothy)
16:14:16 BLOC_C_SERIE_DU_JOUR              0m09s      0m06s      -3s  ✅  jingle avant bible 08 prenons un moment pour ecouter la parole
16:14:22 BLOC_C_SERIE_DU_JOUR              0m33s      0m31s      -2s  ✅  Esther 10
16:14:53 BLOC_C_SERIE_DU_JOUR              3m42s      3m40s      -2s  ✅  2 Pierre 1
16:18:33 BLOC_C_SERIE_DU_JOUR              4m04s      4m01s      -3s  ✅  2 Pierre 2
16:22:34 BLOC_C_SERIE_DU_JOUR              3m17s      3m14s      -3s  ✅  2 Pierre 3
16:25:48 BLOC_C_SERIE_DU_JOUR              4m33s      4m31s      -2s  ✅  1 Pierre 1
16:30:19 BLOC_C_SERIE_DU_JOUR              4m17s      4m13s      -4s  ✅  1 Pierre 2
16:34:32 BLOC_C_SERIE_DU_JOUR              3m50s      3m47s      -3s  ✅  1 Pierre 3
16:38:19 BLOC_C_SERIE_DU_JOUR              3m13s      3m11s      -2s  ✅  1 Pierre 4
16:41:30 BLOC_C_SERIE_DU_JOUR              2m15s      2m13s      -2s  ✅  1 Pierre 5
16:43:43 BLOC_C_SERIE_DU_JOUR              2m59s      2m56s      -3s  ✅  Philémon 1
16:46:39 BLOC_C_SERIE_DU_JOUR              2m21s      2m19s      -2s  ✅  Nahum 1
16:48:58 BLOC_C_SERIE_DU_JOUR              0m11s      0m09s      -2s  ✅  jingle avant louange 05 elevons nos coeurs vers dieu
16:49:07 BLOC_C_SERIE_DU_JOUR              4m05s      4m02s      -3s  ✅  Song Of Victory - Emmanuel Igunbor
